id,date,region,new,deathTotal,death,healed,positives,hospitalized,isolated,intensiveCare,groceriesPharmacy,parks,residential,retailRecreation,transit,workplaces
2020-02-24_0,2020-02-24,0,221,7,7,1,221,127,94,26,23,22,4,-4,-15,-14
2020-02-24_01,2020-02-24,01,3,0,0,0,3,2,1,0,23,31,5,-6,-21,-21
2020-02-24_02,2020-02-24,02,0,0,0,0,0,0,0,0,39,62,3,34,19,-18
2020-02-24_03,2020-02-24,03,166,6,6,0,166,95,71,19,27,28,9,-18,-32,-22
2020-02-24_05,2020-02-24,05,32,1,1,0,32,16,16,4,28,14,6,-12,-21,-18
2020-02-24_06,2020-02-24,06,0,0,0,0,0,0,0,0,26,22,5,-5,-20,-18
2020-02-24_07,2020-02-24,07,0,0,0,0,0,0,0,0,24,15,5,-2,-13,-16
2020-02-24_08,2020-02-24,08,18,0,0,0,18,12,6,2,33,25,6,-7,-18,-13
2020-02-24_09,2020-02-24,09,0,0,0,0,0,0,0,0,25,20,0,3,0,0
2020-02-24_10,2020-02-24,10,0,0,0,0,0,0,0,0,20,35,0,3,4,1
2020-02-24_11,2020-02-24,11,0,0,0,0,0,0,0,0,25,22,1,4,3,-1
2020-02-24_12,2020-02-24,12,2,0,0,1,2,2,0,1,18,17,1,2,-3,-3
2020-02-24_13,2020-02-24,13,0,0,0,0,0,0,0,0,19,25,1,5,2,-10
2020-02-24_14,2020-02-24,14,0,0,0,0,0,0,0,0,12,9,0,6,0,-7
2020-02-24_15,2020-02-24,15,0,0,0,0,0,0,0,0,18,2,3,-1,-5,-16
2020-02-24_16,2020-02-24,16,0,0,0,0,0,0,0,0,14,28,2,2,-1,-15
2020-02-24_17,2020-02-24,17,0,0,0,0,0,0,0,0,15,32,2,0,-8,-19
2020-02-24_18,2020-02-24,18,0,0,0,0,0,0,0,0,20,13,2,-2,-5,-5
2020-02-24_19,2020-02-24,19,0,0,0,0,0,0,0,0,14,12,3,-1,-7,-12
2020-02-24_20,2020-02-24,20,0,0,0,0,0,0,0,0,5,33,2,1,-3,-12
2020-02-24_21,2020-02-24,21,0,0,0,0,0,0,0,0,23,30,3,13,-3,-20
2020-02-24_22,2020-02-24,22,0,0,0,0,0,0,0,0,29,46,4,10,-3,-19
2020-02-25_0,2020-02-25,0,93,10,3,1,311,150,162,35,5,20,5,-6,-18,-15
2020-02-25_01,2020-02-25,01,0,0,0,0,3,2,1,0,3,3,7,-10,-26,-21
2020-02-25_02,2020-02-25,02,0,0,0,0,0,0,0,0,23,80,2,23,27,-18
2020-02-25_03,2020-02-25,03,68,9,3,0,231,104,127,25,3,8,11,-22,-37,-23
2020-02-25_05,2020-02-25,05,10,1,0,0,42,19,23,7,3,9,7,-11,-26,-19
2020-02-25_06,2020-02-25,06,0,0,0,0,0,0,0,0,3,3,7,-9,-23,-18
2020-02-25_07,2020-02-25,07,1,0,0,0,1,1,0,0,4,9,6,-8,-18,-16
2020-02-25_08,2020-02-25,08,8,0,0,0,26,17,9,2,1,24,7,-11,-23,-15
2020-02-25_09,2020-02-25,09,2,0,0,0,2,2,0,0,12,32,1,0,-6,-1
2020-02-25_10,2020-02-25,10,0,0,0,0,0,0,0,0,9,20,1,0,1,1
2020-02-25_11,2020-02-25,11,0,0,0,0,0,0,0,0,8,57,2,3,1,-4
2020-02-25_12,2020-02-25,12,0,0,0,1,2,2,0,1,7,12,1,1,-7,-3
2020-02-25_13,2020-02-25,13,0,0,0,0,0,0,0,0,7,50,3,4,-3,-15
2020-02-25_14,2020-02-25,14,0,0,0,0,0,0,0,0,2,14,1,7,-4,-11
2020-02-25_15,2020-02-25,15,0,0,0,0,0,0,0,0,-2,17,5,-2,-7,-20
2020-02-25_16,2020-02-25,16,0,0,0,0,0,0,0,0,4,28,2,2,-2,-15
2020-02-25_17,2020-02-25,17,0,0,0,0,0,0,0,0,0,33,4,-1,-7,-19
2020-02-25_18,2020-02-25,18,0,0,0,0,0,0,0,0,7,27,3,-4,-7,-12
2020-02-25_19,2020-02-25,19,3,0,0,0,3,1,2,0,8,35,3,-1,-9,-12
2020-02-25_20,2020-02-25,20,0,0,0,0,0,0,0,0,-1,74,2,4,1,-17
2020-02-25_21,2020-02-25,21,1,0,0,0,1,1,0,0,16,19,7,4,-15,-25
2020-02-25_22,2020-02-25,22,0,0,0,0,0,0,0,0,13,14,8,-1,-11,-22
2020-02-26_0,2020-02-26,0,78,12,2,3,385,164,221,36,-5,-6,6,-13,-23,-12
2020-02-26_01,2020-02-26,01,0,0,0,0,3,2,1,0,-7,-12,8,-14,-29,-19
2020-02-26_02,2020-02-26,02,0,0,0,0,0,0,0,0,9,7,6,0,-2,-17
2020-02-26_03,2020-02-26,03,18,9,0,0,249,104,145,25,-7,-5,11,-23,-40,-23
2020-02-26_05,2020-02-26,05,28,2,1,0,69,24,45,8,-7,-6,7,-15,-29,-17
2020-02-26_06,2020-02-26,06,0,0,0,0,0,0,0,0,-7,-18,7,-14,-26,-18
2020-02-26_07,2020-02-26,07,10,0,0,0,11,6,5,0,-4,2,6,-10,-18,-16
2020-02-26_08,2020-02-26,08,21,1,1,0,46,23,23,3,-9,-16,8,-18,-31,-15
2020-02-26_09,2020-02-26,09,0,0,0,0,2,2,0,0,-5,-19,3,-11,-15,-2
2020-02-26_10,2020-02-26,10,0,0,0,0,0,0,0,0,-1,-11,2,-8,-6,0
2020-02-26_11,2020-02-26,11,1,0,0,0,1,1,0,0,2,-10,6,-10,-18,-12
2020-02-26_12,2020-02-26,12,0,0,0,3,0,0,0,0,-3,-7,2,-8,-10,0
2020-02-26_13,2020-02-26,13,0,0,0,0,0,0,0,0,1,-10,2,-5,-11,-3
2020-02-26_14,2020-02-26,14,0,0,0,0,0,0,0,0,-3,-8,2,-5,-4,-5
2020-02-26_15,2020-02-26,15,0,0,0,0,0,0,0,0,-6,-14,4,-10,-11,-11
2020-02-26_16,2020-02-26,16,0,0,0,0,0,0,0,0,0,0,2,-7,-10,-5
2020-02-26_17,2020-02-26,17,0,0,0,0,0,0,0,0,-2,-5,2,-9,-10,-3
2020-02-26_18,2020-02-26,18,0,0,0,0,0,0,0,0,-4,-8,3,-13,-14,-6
2020-02-26_19,2020-02-26,19,0,0,0,0,3,1,2,0,-3,-1,4,-11,-17,-12
2020-02-26_20,2020-02-26,20,0,0,0,0,0,0,0,0,-2,-6,2,-7,-5,-4
2020-02-26_21,2020-02-26,21,0,0,0,0,1,1,0,0,4,3,5,0,-15,-21
2020-02-26_22,2020-02-26,22,0,0,0,0,0,0,0,0,1,-7,7,-4,-17,-15
2020-02-27_0,2020-02-27,0,250,17,5,45,588,304,284,56,-3,-1,6,-10,-22,-12
2020-02-27_01,2020-02-27,01,-1,0,0,0,2,2,0,0,-4,-2,7,-9,-26,-18
2020-02-27_02,2020-02-27,02,0,0,0,0,0,0,0,0,3,2,7,2,-1,-14
2020-02-27_03,2020-02-27,03,145,14,5,40,349,213,136,41,-7,7,10,-19,-39,-23
2020-02-27_05,2020-02-27,05,40,2,0,0,109,27,82,8,-5,2,7,-11,-29,-15
2020-02-27_06,2020-02-27,06,0,0,0,0,0,0,0,0,-4,5,6,-9,-22,-14
2020-02-27_07,2020-02-27,07,8,0,0,0,19,9,10,0,-4,5,6,-9,-18,-16
